entity,record_identifier,field,issue_type,severity,description,whether_corrected,safe_reference
Booking,B1076,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1102' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1076
Booking,B1089,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1104' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1089
Booking,B1111,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1999' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1111
Booking,B1136,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1102' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1136
Booking,B1173,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1728' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1173
Booking,B1182,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1727' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1182
Booking,B1184,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1108' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1184
Booking,B1204,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1811' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1204
Booking,B1235,flight_id,AMBIGUOUS_FLIGHT_REFERENCE,HIGH,Booking references flight ID '6F250' which has multiple operational legs. Preserved booking and mapped to unresolved member.,FLAGGED,B1235
Booking,B1288,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1944' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1288
Booking,B1294,flight_id,AMBIGUOUS_FLIGHT_REFERENCE,HIGH,Booking references flight ID '6F250' which has multiple operational legs. Preserved booking and mapped to unresolved member.,FLAGGED,B1294
Booking,B1320,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1811' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1320
Booking,B1341,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1252' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1341
Booking,B1352,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1140' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1352
Booking,B1375,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1811' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1375
Booking,B1410,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1985' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1410
Booking,B1414,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1615' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1414
Booking,B1447,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1991' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1447
Booking,B1613,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1944' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1613
Booking,B1623,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1542' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1623
Booking,B1679,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1727' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1679
Booking,B1694,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1999' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1694
Booking,B1733,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1331' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1733
Booking,B1761,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1331' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1761
Booking,B1768,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1991' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1768
Booking,B1770,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1727' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1770
Booking,B1775,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1999' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1775
Booking,B1783,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1991' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1783
Booking,B1809,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1781' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1809
Booking,B1846,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1994' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1846
Booking,B1858,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1858' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1858
Booking,B1896,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1102' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1896
Booking,B1906,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1236' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1906
Booking,B1916,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1542' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1916
Booking,B1931,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1108' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1931
Booking,B1934,passenger_id,AMBIGUOUS_PASSENGER_REFERENCE,HIGH,Booking references passenger ID 'P1858' which corresponds to multiple individuals. Preserved booking and mapped to unresolved member.,FLAGGED,B1934
Flight,6F250,flight_id,MULTI_LEG_COLLISION,HIGH,Flight ID '6F250' corresponds to multiple distinct operational legs. Assigned distinct surrogate keys to avoid data loss.,FLAGGED,6F250
Flight,SJ192,arrival_time,INVERTED_TIMESTAMPS,HIGH,Arrival timestamp (2026-04-18 23:45:42) occurred before departure (2026-04-19 18:45:42). Objectively corrected arrival date to 2026-04-19 based on operational time component.,YES,SJ192
Passenger,P1034,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1034' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1034
Passenger,P1102,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1102' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1102
Passenger,P1104,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1104' is shared by 3 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1104
Passenger,P1108,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1108' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1108
Passenger,P1140,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1140' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1140
Passenger,P1141,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1141' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1141
Passenger,P1178,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1178' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1178
Passenger,P1216,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1216' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1216
