route_key,source_airport,destination_airport,route_code
-1,UNRESOLVED,UNRESOLVED,UNRESOLVED
1,BLR,BOM,BLR-BOM
2,BLR,CCU,BLR-CCU
3,BLR,DEL,BLR-DEL
4,BLR,HYD,BLR-HYD
5,BLR,MAA,BLR-MAA
6,BOM,BLR,BOM-BLR
7,BOM,CCU,BOM-CCU
8,BOM,DEL,BOM-DEL
9,BOM,HYD,BOM-HYD
10,BOM,MAA,BOM-MAA
11,CCU,BLR,CCU-BLR
12,CCU,BOM,CCU-BOM
13,CCU,DEL,CCU-DEL
14,CCU,HYD,CCU-HYD
15,CCU,MAA,CCU-MAA
16,DEL,BLR,DEL-BLR
17,DEL,BOM,DEL-BOM
18,DEL,CCU,DEL-CCU
19,DEL,HYD,DEL-HYD
20,DEL,MAA,DEL-MAA
21,HYD,BLR,HYD-BLR
22,HYD,BOM,HYD-BOM
23,HYD,CCU,HYD-CCU
24,HYD,DEL,HYD-DEL
25,HYD,MAA,HYD-MAA
26,MAA,BLR,MAA-BLR
27,MAA,BOM,MAA-BOM
28,MAA,CCU,MAA-CCU
29,MAA,DEL,MAA-DEL
30,MAA,HYD,MAA-HYD
