booking_id,booking_date,flight_key,passenger_key,airline_key,route_key,raw_passenger_id,raw_flight_id,booking_status,is_confirmed,is_cancelled,is_pending,is_invalid,is_unknown,is_unresolved_flight,is_unresolved_passenger,gross_payment_amount,realized_revenue,payment_record_count,valid_payment_count,has_valid_payment
B1000,2025-06-14 11:37:36.951,5,609,2,27,P1591,AI192,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1001,2025-11-02 11:37:36.951,12,828,1,7,P1803,6F026,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1002,2025-08-25 11:37:36.951,1,85,3,15,P1083,SJ010,CANCELLED,0,1,0,0,0,0,0,8593.08,0.0,2,2,1
B1003,2025-12-30 11:37:36.951,15,377,2,17,P1364,AI069,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1004,2025-10-02 11:37:36.951,29,915,4,24,P1885,UK003,PENDING,0,0,1,0,0,0,0,12222.48,0.0,1,1,1
B1005,2025-08-31 11:37:36.951,20,566,2,13,P1548,AI048,CONFIRMED,1,0,0,0,0,0,0,13378.9,13378.9,1,1,1
B1006,2025-06-29 11:37:36.951,17,354,2,8,P1341,AI140,CANCELLED,0,1,0,0,0,0,0,14980.37,0.0,1,1,1
B1007,2026-03-12 11:37:36.951,13,866,4,20,P1838,UK167,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1008,2025-09-07 11:37:36.951,4,419,2,7,P1406,AI245,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1009,2025-04-28 11:37:36.951,6,440,3,19,P1424,SJ158,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1010,2025-11-24 11:37:36.951,2,767,2,7,P1743,AI155,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,1,0,0
B1011,2025-10-25 11:37:36.951,38,94,2,22,P1092,AI179,CONFIRMED,1,0,0,0,0,0,0,2115.18,2115.18,1,1,1
B1012,2025-08-15 11:37:36.951,11,875,2,8,P1847,AI137,PENDING,0,0,1,0,0,0,0,23702.39,0.0,4,3,1
B1013,2025-07-20 11:37:36.951,42,631,3,10,P1613,SJ001,CONFIRMED,1,0,0,0,0,0,0,1176.33,1176.33,1,1,1
B1014,2025-09-15 11:37:36.951,24,426,3,13,P1411,SJ172,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1015,2025-10-21 11:37:36.951,3,447,4,7,P1431,UK094,UNKNOWN,0,0,0,0,1,0,0,19609.66,0.0,2,2,1
B1016,2026-01-13 11:37:36.951,14,697,4,7,P1677,UK027,CANCELLED,0,1,0,0,0,0,0,23800.77,0.0,2,2,1
B1017,2026-04-04 11:37:36.951,32,166,4,7,P1158,UK067,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1018,2026-03-25 11:37:36.951,7,14,1,15,P1013,6F196,CANCELLED,0,1,0,0,0,0,0,2588.63,0.0,1,1,1
B1019,2025-07-31 11:37:36.951,22,385,1,1,P1372,6F164,CANCELLED,0,1,0,0,0,0,0,18621.0,0.0,3,2,1
B1020,2025-12-06 11:37:36.951,21,234,3,24,P1224,SJ112,CONFIRMED,1,0,0,0,0,0,0,8150.35,8150.35,1,1,1
B1021,2025-12-07 11:37:36.951,49,521,1,20,P1504,6F190,CANCELLED,0,1,0,0,0,0,0,6949.93,0.0,1,1,1
B1022,2026-03-25 11:37:36.951,8,74,2,9,P1072,AI080,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1023,2026-02-03 11:37:36.951,34,259,1,1,P1248,6F213,PENDING,0,0,1,0,0,0,0,13057.27,0.0,1,1,1
B1024,2025-06-21 11:37:36.951,56,527,2,26,P1510,AI115,PENDING,0,0,1,0,0,0,0,4857.79,0.0,1,1,1
B1025,2026-03-18 11:37:36.951,43,620,3,13,P1602,SJ049,PENDING,0,0,1,0,0,0,0,36122.96,0.0,3,3,1
B1026,2025-06-27 11:37:36.951,16,224,2,7,P1215,AI058,CONFIRMED,1,0,0,0,0,0,0,13204.36,13204.36,2,2,1
B1027,2025-07-25 11:37:36.951,52,1007,4,11,P1972,UK036,CONFIRMED,1,0,0,0,0,0,0,7503.17,7503.17,1,1,1
B1028,2025-05-25 11:37:36.951,18,619,3,7,P1601,SJ239,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1029,2025-06-06 11:37:36.951,9,557,1,1,P1540,6F025,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
