route_code,flight_count,percentage
BOM-CCU,90,8.96%
CCU-DEL,72,7.16%
MAA-BLR,65,6.47%
BLR-BOM,60,5.97%
HYD-MAA,57,5.67%
DEL-HYD,54,5.37%
HYD-DEL,42,4.18%
BOM-DEL,39,3.88%
CCU-BOM,33,3.28%
DEL-BLR,29,2.89%
DEL-BOM,28,2.79%
BOM-MAA,27,2.69%
HYD-BOM,27,2.69%
BOM-HYD,26,2.59%
MAA-DEL,26,2.59%
HYD-CCU,26,2.59%
DEL-CCU,26,2.59%
HYD-BLR,26,2.59%
CCU-MAA,24,2.39%
MAA-CCU,24,2.39%
DEL-MAA,23,2.29%
BOM-BLR,23,2.29%
MAA-BOM,21,2.09%
MAA-HYD,21,2.09%
CCU-HYD,21,2.09%
BLR-CCU,21,2.09%
CCU-BLR,20,1.99%
BLR-HYD,19,1.89%
BLR-DEL,19,1.89%
BLR-MAA,16,1.59%
